ID,RELIABILITY,COST,OXIM,ECG,TEMP,ABP,PATIENT_STATUS,TIME_MS,TIME (ms),"0,9","0,47",,reliability,cost
0,0,0,FALSE,FALSE,FALSE,FALSE,NORMAL STATE,645916847,0,0,0,satisfied:,261,258
1,0,0,FALSE,TRUE,TRUE,FALSE,NORMAL STATE,645918844,1997,0,0,unsatisfied:,45,48
2,0,0,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,645919138,2291,0,0,,,
3,"0,964172","0,6059",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,645920245,3398,0,0,,,
4,"0,964172","0,6059",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,645921893,5046,0,0,,,
5,"0,964172","0,6059",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,645922830,5983,0,0,,,
6,"0,964172","0,6059",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,645923841,6994,0,0,,,
7,"0,934318","0,542372",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,645924932,8085,0,0,,,
8,"0,891721","0,466488",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,645925089,8242,1,1,,,
9,"0,891721","0,466488",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,645925189,8342,1,1,,,
10,"0,891721","0,466488",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,645926177,9330,1,1,,,
11,"0,891721","0,466488",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,645927184,10337,1,1,,,
12,"0,891721","0,466488",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,645928199,11352,1,1,,,
13,"0,891721","0,466488",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,645929192,12345,1,1,,,
14,"0,891721","0,466488",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,645930183,13336,1,1,,,
15,"0,891721","0,466488",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,645931189,14342,1,1,,,
16,"0,891721","0,466488",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,645932194,15347,1,1,,,
17,"0,891721","0,466488",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,645934190,17343,1,1,,,
18,"0,891721","0,466488",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,645934297,17450,1,1,,,
19,"0,891721","0,466488",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,645935291,18444,1,1,,,
20,"0,891721","0,466488",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,645936294,19447,1,1,,,
21,"0,891721","0,466488",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,645937301,20454,1,1,,,
22,"0,891721","0,466488",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,645938300,21453,1,1,,,
23,"0,891721","0,466488",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,645939299,22452,1,1,,,
24,"0,891721","0,466488",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,645940301,23454,1,1,,,
25,"0,891721","0,466488",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,645941303,24456,1,1,,,
26,"0,891721","0,466488",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,645942294,25447,1,1,,,
27,"0,891721","0,466488",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,645943293,26446,1,1,,,
28,"0,891721","0,466488",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,645944301,27454,1,1,,,
29,"0,891721","0,466488",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,645945298,28451,1,1,,,
30,"0,891721","0,466488",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,645946296,29449,1,1,,,
31,"0,891721","0,466488",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,645947295,30448,1,1,,,
32,"0,891721","0,466488",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,645948299,31452,1,1,,,
33,"0,891721","0,466488",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,645949297,32450,1,1,,,
34,"0,891721","0,466488",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,645950299,33452,1,1,,,
35,"0,891721","0,466488",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,645951300,34453,1,1,,,
36,"0,891721","0,466488",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,645952307,35460,1,1,,,
37,"0,891721","0,466488",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,645953305,36458,1,1,,,
38,"0,891721","0,466488",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,645954300,37453,1,1,,,
39,"0,891721","0,466488",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,645955305,38458,1,1,,,
40,"0,891721","0,466488",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,645956301,39454,1,1,,,
41,"0,891721","0,466488",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,645957300,40453,1,1,,,
42,"0,891721","0,466488",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,645958302,41455,1,1,,,
43,"0,891721","0,466488",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,645959296,42449,1,1,,,
44,"0,891721","0,466488",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,645960304,43457,1,1,,,
45,"0,891721","0,466488",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,645961303,44456,1,1,,,
46,"0,891721","0,466488",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,645962296,45449,1,1,,,
