ID,RELIABILITY,COST,OXIM,ECG,TEMP,ABP,PATIENT_STATUS,TIME_MS,TIME (ms),"0,9","0,47",,reliability,cost
0,0,0,FALSE,FALSE,FALSE,FALSE,NORMAL STATE,1548290158848,0,0,0,satisfied:,292,291
1,0,0,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,1548290160778,1930,0,0,unsatisfied:,8,9
2,0,0,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548290161817,2969,0,0,,,
3,"0,964172","0,6059",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548290162782,3934,0,0,,,
4,"0,964172","0,6059",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548290163794,4946,0,0,,,
5,"0,964172","0,6059",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548290164799,5951,0,0,,,
6,"0,903516","0,526351",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548290165788,6940,1,0,,,
7,"0,891721","0,466488",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548290165959,7111,1,1,,,
8,"0,891721","0,466488",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548290166139,7291,1,1,,,
9,"0,891721","0,466488",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548290167136,8288,1,1,,,
10,"0,891721","0,466488",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548290168143,9295,1,1,,,
11,"0,891721","0,466488",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548290169142,10294,1,1,,,
12,"0,891721","0,466488",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548290170133,11285,1,1,,,
13,"0,891721","0,466488",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548290171131,12283,1,1,,,
14,"0,891721","0,466488",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548290172131,13283,1,1,,,
15,"0,891721","0,466488",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548290173134,14286,1,1,,,
16,"0,891721","0,466488",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548290174130,15282,1,1,,,
17,"0,891721","0,466488",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548290175133,16285,1,1,,,
18,"0,891721","0,466488",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548290176132,17284,1,1,,,
19,"0,891721","0,466488",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548290177129,18281,1,1,,,
20,"0,891721","0,466488",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548290178129,19281,1,1,,,
21,"0,891721","0,466488",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548290179130,20282,1,1,,,
22,"0,891721","0,466488",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548290180127,21279,1,1,,,
23,"0,891721","0,466488",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548290181123,22275,1,1,,,
24,"0,891721","0,466488",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548290182132,23284,1,1,,,
25,"0,891721","0,466488",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548290183138,24290,1,1,,,
26,"0,891721","0,466488",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548290184136,25288,1,1,,,
27,"0,891721","0,466488",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548290185146,26298,1,1,,,
28,"0,891721","0,466488",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548290186134,27286,1,1,,,
29,"0,891721","0,466488",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548290187139,28291,1,1,,,
30,"0,891721","0,466488",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548290188140,29292,1,1,,,
31,"0,891721","0,466488",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548290189134,30286,1,1,,,
32,"0,891721","0,466488",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548290190136,31288,1,1,,,
33,"0,891721","0,466488",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548290191138,32290,1,1,,,
34,"0,891721","0,466488",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548290192140,33292,1,1,,,
35,"0,891721","0,466488",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548290193133,34285,1,1,,,
36,"0,891721","0,466488",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548290194128,35280,1,1,,,
37,"0,891721","0,466488",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548290195133,36285,1,1,,,
38,"0,891721","0,466488",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548290196126,37278,1,1,,,
39,"0,891721","0,466488",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548290197117,38269,1,1,,,
40,"0,891721","0,466488",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548290198127,39279,1,1,,,
41,"0,891721","0,466488",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548290199129,40281,1,1,,,
42,"0,891721","0,466488",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548290200131,41283,1,1,,,
43,"0,891721","0,466488",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548290201136,42288,1,1,,,
44,"0,891721","0,466488",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548290202134,43286,1,1,,,
45,"0,891721","0,466488",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548290203136,44288,1,1,,,
46,"0,891721","0,466488",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548290204134,45286,1,1,,,
47,"0,891721","0,466488",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548290205132,46284,1,1,,,
48,"0,891721","0,466488",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548290206136,47288,1,1,,,
49,"0,891721","0,466488",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548290207136,48288,1,1,,,
50,"0,891721","0,466488",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548290208139,49291,1,1,,,
51,"0,891721","0,466488",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548290209133,50285,1,1,,,
52,"0,891721","0,466488",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548290210133,51285,1,1,,,
53,"0,891721","0,466488",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548290211136,52288,1,1,,,
54,"0,891721","0,466488",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548290212135,53287,1,1,,,
55,"0,891721","0,466488",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548290213132,54284,1,1,,,
56,"0,891721","0,466488",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548290214137,55289,1,1,,,
57,"0,891721","0,466488",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548290215142,56294,1,1,,,
58,"0,891721","0,466488",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548290216138,57290,1,1,,,
59,"0,891721","0,466488",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548290217137,58289,1,1,,,
60,"0,891721","0,466488",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548290218123,59275,1,1,,,
61,"0,891721","0,466488",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548290219122,60274,1,1,,,
62,"0,891721","0,466488",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548290220135,61287,1,1,,,
63,"0,891721","0,466488",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548290221127,62279,1,1,,,
64,"0,891721","0,466488",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548290222134,63286,1,1,,,
65,"0,891721","0,466488",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548290223140,64292,1,1,,,
66,"0,891721","0,466488",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548290224140,65292,1,1,,,
67,"0,891721","0,466488",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548290225140,66292,1,1,,,
68,"0,891721","0,466488",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548290226128,67280,1,1,,,
69,"0,891721","0,466488",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548290227124,68276,1,1,,,
70,"0,891721","0,466488",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548290228140,69292,1,1,,,
71,"0,891721","0,466488",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548290229127,70279,1,1,,,
72,"0,891721","0,466488",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548290230131,71283,1,1,,,
73,"0,891721","0,466488",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548290231139,72291,1,1,,,
74,"0,891721","0,466488",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548290232129,73281,1,1,,,
75,"0,891721","0,466488",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548290233127,74279,1,1,,,
76,"0,891721","0,466488",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548290234139,75291,1,1,,,
77,"0,891721","0,466488",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548290235139,76291,1,1,,,
78,"0,891721","0,466488",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548290236135,77287,1,1,,,
79,"0,891721","0,466488",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548290237136,78288,1,1,,,
