ID,RELIABILITY,COST,OXIM,ECG,TEMP,ABP,PATIENT_STATUS,TIME_MS,TIME (ms),"0,9","0,47",,reliability,cost
0,0,0,FALSE,FALSE,FALSE,FALSE,NORMAL STATE,1548289640164,0,0,0,satisfied:,0,0
1,0,0,FALSE,TRUE,TRUE,FALSE,NORMAL STATE,1548289640364,200,0,0,unsatisfied:,300,300
2,0,0,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,1548289641430,1266,0,0,,,
3,0,0,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,1548289643276,3112,0,0,,,
4,"0,942871","0,555724",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548289644217,4053,0,0,,,
5,"0,942871","0,555724",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548289645193,5029,0,0,,,
6,"0,942871","0,555724",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548289646193,6029,0,0,,,
7,"0,942871","0,555724",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548289647181,7017,0,0,,,
8,"0,942871","0,555724",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548289648316,8152,0,0,,,
9,"0,942871","0,555724",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548289649345,9181,0,0,,,
10,"0,942871","0,555724",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548289650366,10202,0,0,,,
11,"0,942871","0,555724",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548289651335,11171,0,0,,,
12,"0,942871","0,555724",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548289652297,12133,0,0,,,
13,"0,942871","0,555724",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548289653306,13142,0,0,,,
14,"0,942871","0,555724",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548289654313,14149,0,0,,,
15,"0,942871","0,555724",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548289655290,15126,0,0,,,
16,"0,942871","0,555724",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548289656280,16116,0,0,,,
17,"0,942871","0,555724",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548289657290,17126,0,0,,,
18,"0,942871","0,555724",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548289658290,18126,0,0,,,
19,"0,942871","0,555724",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548289659356,19192,0,0,,,
