ID,RELIABILITY,COST,OXIM,ECG,TEMP,ABP,PATIENT_STATUS,TIME_MS,TIME (ms),"0,9","0,47",,reliability,cost
0,0,0,FALSE,FALSE,FALSE,FALSE,NORMAL STATE,1548458499648,0,0,0,satisfied:,192,192
1,0,0,FALSE,TRUE,FALSE,FALSE,NORMAL STATE,1548458500684,1036,0,0,unsatisfied:,114,114
2,0,0,FALSE,TRUE,TRUE,FALSE,NORMAL STATE,1548458501688,2040,0,0,,,
3,0,0,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,1548458502723,3075,0,0,,,
4,0,0,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548458503769,4121,0,0,,,
5,0,0,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548458504822,5174,0,0,,,
6,"0,95","0,5054",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548458505829,6181,0,0,,,
7,"0,95","0,5054",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548458506819,7171,0,0,,,
8,"0,95","0,5054",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548458507817,8169,0,0,,,
9,"0,95","0,5054",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548458508802,9154,0,0,,,
10,"0,882105","0,46928",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548458509767,10119,1,1,,,
11,"0,882105","0,46928",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548458510739,11091,1,1,,,
12,"0,882105","0,46928",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548458511746,12098,1,1,,,
13,"0,882105","0,46928",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548458512744,13096,1,1,,,
14,"0,882105","0,46928",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548458513732,14084,1,1,,,
15,"0,882105","0,46928",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548458514727,15079,1,1,,,
16,"0,882105","0,46928",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548458515743,16095,1,1,,,
17,"0,882105","0,46928",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548458516751,17103,1,1,,,
18,"0,882105","0,46928",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548458517740,18092,1,1,,,
19,"0,882105","0,46928",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548458518724,19076,1,1,,,
20,"0,882105","0,46928",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548458519726,20078,1,1,,,
21,"0,882105","0,46928",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548458520748,21100,1,1,,,
22,"0,882105","0,46928",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548458521765,22117,1,1,,,
23,"0,882105","0,46928",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548458522740,23092,1,1,,,
24,"0,882105","0,46928",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548458523728,24080,1,1,,,
25,"0,882105","0,46928",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548458524727,25079,1,1,,,
26,"0,882105","0,46928",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548458525718,26070,1,1,,,
27,"0,882105","0,46928",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548458526723,27075,1,1,,,
28,"0,882105","0,46928",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548458527722,28074,1,1,,,
29,"0,882105","0,46928",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548458528740,29092,1,1,,,
30,"0,882105","0,46928",TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548458529744,30096,1,1,,,
