ID,SPO2_DATA,ECG_DATA,TEMP_DATA,BLOODPRESSURE_DATA,OVERALL_STATUS,PATIENT_STATE,TIME_MS
0,unknown,unknown,unknown,low risk,0,NORMAL STATE,1547509266286
1,unknown,unknown,unknown,low risk,1.20531,NORMAL STATE,1547509267303
2,unknown,unknown,unknown,low risk,1.20531,NORMAL STATE,1547509268305
3,unknown,unknown,unknown,low risk,1.20531,NORMAL STATE,1547509269303
4,unknown,unknown,unknown,low risk,1.20531,NORMAL STATE,1547509270297
5,unknown,unknown,unknown,high risk,1.20531,NORMAL STATE,1547509271300
6,unknown,unknown,unknown,high risk,14.5111,NORMAL STATE,1547509272302
7,unknown,unknown,unknown,high risk,14.5111,NORMAL STATE,1547509273304
8,unknown,low risk,high risk,high risk,28.5181,NORMAL STATE,1547509274301
9,unknown,low risk,high risk,high risk,46.1304,NORMAL STATE,1547509275303
10,moderate risk,low risk,high risk,high risk,45.5004,NORMAL STATE,1547509276307
11,moderate risk,moderate risk,high risk,high risk,52.3356,NORMAL STATE,1547509277305
12,moderate risk,moderate risk,high risk,high risk,57.1328,NORMAL STATE,1547509278308
13,high risk,moderate risk,high risk,moderate risk,57.1328,NORMAL STATE,1547509279302
14,high risk,moderate risk,high risk,moderate risk,69.0272,CRITICAL STATE,1547509280293
15,high risk,moderate risk,high risk,moderate risk,69.0272,CRITICAL STATE,1547509281298
16,high risk,moderate risk,high risk,moderate risk,69.0272,CRITICAL STATE,1547509282298
17,high risk,moderate risk,high risk,moderate risk,70.6427,CRITICAL STATE,1547509283300
18,high risk,moderate risk,high risk,moderate risk,70.6427,CRITICAL STATE,1547509284299
19,high risk,moderate risk,high risk,moderate risk,70.6427,CRITICAL STATE,1547509285300
20,high risk,moderate risk,high risk,moderate risk,70.6427,CRITICAL STATE,1547509286300
21,high risk,moderate risk,high risk,moderate risk,70.6427,CRITICAL STATE,1547509287298
22,high risk,high risk,high risk,moderate risk,70.6427,CRITICAL STATE,1547509288304
23,high risk,high risk,high risk,moderate risk,77.4247,CRITICAL STATE,1547509289306
24,high risk,high risk,high risk,moderate risk,74.7443,CRITICAL STATE,1547509290298
25,high risk,high risk,high risk,moderate risk,72.5308,CRITICAL STATE,1547509291299
26,high risk,high risk,high risk,moderate risk,72.5308,CRITICAL STATE,1547509292305
27,high risk,high risk,high risk,moderate risk,74.4038,CRITICAL STATE,1547509293304
28,high risk,high risk,high risk,moderate risk,74.4038,CRITICAL STATE,1547509294304
29,high risk,high risk,high risk,moderate risk,74.4038,CRITICAL STATE,1547509295302
30,high risk,high risk,high risk,moderate risk,74.4038,CRITICAL STATE,1547509296305
31,high risk,high risk,high risk,high risk,74.4038,CRITICAL STATE,1547509297302
32,high risk,high risk,high risk,moderate risk,76.5366,CRITICAL STATE,1547509298300
33,high risk,high risk,high risk,moderate risk,75.0212,CRITICAL STATE,1547509299307
34,high risk,high risk,moderate risk,moderate risk,75.0212,CRITICAL STATE,1547509300308
35,high risk,high risk,moderate risk,moderate risk,70.7764,CRITICAL STATE,1547509301305
36,high risk,high risk,moderate risk,moderate risk,70.7764,CRITICAL STATE,1547509302302
37,high risk,high risk,moderate risk,moderate risk,72.4069,CRITICAL STATE,1547509303307
38,high risk,high risk,moderate risk,moderate risk,72.4069,CRITICAL STATE,1547509304300
39,high risk,high risk,moderate risk,moderate risk,72.4069,CRITICAL STATE,1547509305305
40,high risk,high risk,moderate risk,moderate risk,72.4069,CRITICAL STATE,1547509306305
41,high risk,high risk,moderate risk,high risk,66.8899,CRITICAL STATE,1547509307308
42,high risk,high risk,moderate risk,high risk,74.0167,CRITICAL STATE,1547509308304
43,high risk,high risk,moderate risk,high risk,74.0167,CRITICAL STATE,1547509309299
44,high risk,high risk,moderate risk,high risk,74.0167,CRITICAL STATE,1547509310301
45,high risk,high risk,moderate risk,high risk,74.0167,CRITICAL STATE,1547509311302
46,high risk,high risk,moderate risk,high risk,74.0167,CRITICAL STATE,1547509312303
47,high risk,high risk,moderate risk,high risk,74.0167,CRITICAL STATE,1547509313302
48,high risk,high risk,moderate risk,high risk,74.0167,CRITICAL STATE,1547509314297
49,high risk,high risk,moderate risk,high risk,74.0167,CRITICAL STATE,1547509315297
50,high risk,high risk,moderate risk,high risk,74.0167,CRITICAL STATE,1547509316304
51,high risk,high risk,moderate risk,high risk,74.0167,CRITICAL STATE,1547509317299
52,high risk,high risk,moderate risk,high risk,74.0167,CRITICAL STATE,1547509318304
53,high risk,high risk,moderate risk,high risk,74.0167,CRITICAL STATE,1547509319301
54,high risk,high risk,moderate risk,high risk,74.0167,CRITICAL STATE,1547509320303
55,high risk,high risk,moderate risk,high risk,73.7249,CRITICAL STATE,1547509321310
56,high risk,high risk,moderate risk,high risk,74.1298,CRITICAL STATE,1547509322307
57,moderate risk,high risk,moderate risk,high risk,73.2127,CRITICAL STATE,1547509323303
58,moderate risk,high risk,moderate risk,high risk,63.3767,NORMAL STATE,1547509324300
59,moderate risk,high risk,moderate risk,moderate risk,63.3767,NORMAL STATE,1547509325297
60,moderate risk,high risk,moderate risk,moderate risk,59.7833,NORMAL STATE,1547509326304
61,moderate risk,high risk,moderate risk,moderate risk,59.7833,NORMAL STATE,1547509327303
62,moderate risk,high risk,moderate risk,moderate risk,59.7833,NORMAL STATE,1547509328299
63,moderate risk,high risk,moderate risk,moderate risk,59.7833,NORMAL STATE,1547509329302
64,moderate risk,high risk,moderate risk,high risk,59.7833,NORMAL STATE,1547509330312
65,moderate risk,high risk,moderate risk,high risk,62.6323,NORMAL STATE,1547509331306
66,moderate risk,high risk,moderate risk,high risk,62.6323,NORMAL STATE,1547509332299
67,moderate risk,high risk,moderate risk,high risk,62.6323,NORMAL STATE,1547509333302
68,moderate risk,high risk,moderate risk,high risk,62.6323,NORMAL STATE,1547509334303
69,moderate risk,high risk,moderate risk,high risk,62.6323,NORMAL STATE,1547509335304
70,moderate risk,high risk,high risk,high risk,57.9776,NORMAL STATE,1547509336311
71,high risk,high risk,high risk,high risk,64.7263,NORMAL STATE,1547509337311
72,high risk,high risk,high risk,high risk,74.5537,CRITICAL STATE,1547509338304
73,high risk,high risk,high risk,high risk,73.9988,CRITICAL STATE,1547509339305
74,high risk,high risk,high risk,high risk,73.9988,CRITICAL STATE,1547509340301
75,high risk,high risk,high risk,high risk,73.9988,CRITICAL STATE,1547509341299
76,high risk,high risk,high risk,high risk,73.9988,CRITICAL STATE,1547509342301
77,high risk,high risk,high risk,high risk,73.9988,CRITICAL STATE,1547509343303
78,high risk,high risk,high risk,high risk,75.9894,CRITICAL STATE,1547509344304
79,high risk,high risk,high risk,high risk,75.9894,CRITICAL STATE,1547509345296
80,high risk,high risk,high risk,high risk,75.9894,CRITICAL STATE,1547509346301
81,high risk,high risk,high risk,high risk,75.9894,CRITICAL STATE,1547509347302
82,high risk,high risk,high risk,high risk,75.9894,CRITICAL STATE,1547509348306
83,high risk,high risk,high risk,high risk,75.9894,CRITICAL STATE,1547509349296
84,high risk,high risk,high risk,high risk,75.9894,CRITICAL STATE,1547509350300
85,high risk,high risk,high risk,high risk,75.9894,CRITICAL STATE,1547509351301
86,high risk,high risk,high risk,high risk,75.9894,CRITICAL STATE,1547509352296
87,high risk,high risk,high risk,high risk,75.9894,CRITICAL STATE,1547509353294
88,high risk,high risk,high risk,high risk,75.9894,CRITICAL STATE,1547509354302
89,high risk,high risk,low risk,high risk,75.9894,CRITICAL STATE,1547509355309
90,high risk,high risk,low risk,high risk,65.2306,NORMAL STATE,1547509356306
91,high risk,high risk,low risk,high risk,62.8582,NORMAL STATE,1547509357307
92,high risk,high risk,low risk,high risk,61.4078,NORMAL STATE,1547509358306
93,high risk,high risk,low risk,high risk,61.135,NORMAL STATE,1547509359299
94,high risk,high risk,low risk,high risk,61.135,NORMAL STATE,1547509360308
95,high risk,high risk,low risk,high risk,61.135,NORMAL STATE,1547509361308
96,high risk,high risk,low risk,high risk,61.135,NORMAL STATE,1547509362300
97,high risk,high risk,low risk,high risk,61.135,NORMAL STATE,1547509363301
98,high risk,high risk,low risk,high risk,61.135,NORMAL STATE,1547509364302
99,high risk,high risk,low risk,high risk,61.135,NORMAL STATE,1547509365305
100,high risk,high risk,low risk,high risk,61.135,NORMAL STATE,1547509366303
101,high risk,high risk,low risk,high risk,61.135,NORMAL STATE,1547509367308
102,high risk,high risk,low risk,high risk,61.135,NORMAL STATE,1547509368303
103,high risk,high risk,low risk,high risk,61.135,NORMAL STATE,1547509369306
104,high risk,high risk,low risk,high risk,61.135,NORMAL STATE,1547509370303
105,high risk,high risk,low risk,high risk,61.135,NORMAL STATE,1547509371300
106,high risk,high risk,low risk,high risk,61.135,NORMAL STATE,1547509372300
107,high risk,high risk,moderate risk,high risk,61.135,NORMAL STATE,1547509373303
108,high risk,high risk,moderate risk,high risk,65.3781,NORMAL STATE,1547509374305
109,high risk,high risk,moderate risk,high risk,65.3781,NORMAL STATE,1547509375296
110,high risk,high risk,moderate risk,high risk,65.3781,NORMAL STATE,1547509376299
111,high risk,high risk,moderate risk,high risk,65.3781,NORMAL STATE,1547509377301
112,high risk,high risk,moderate risk,high risk,65.3781,NORMAL STATE,1547509378302
113,high risk,high risk,moderate risk,high risk,65.3781,NORMAL STATE,1547509379300
114,high risk,high risk,moderate risk,high risk,65.3781,NORMAL STATE,1547509380306
115,high risk,moderate risk,moderate risk,high risk,67.4245,CRITICAL STATE,1547509381307
116,high risk,moderate risk,moderate risk,high risk,61.2185,NORMAL STATE,1547509382310
117,high risk,moderate risk,moderate risk,high risk,61.2185,NORMAL STATE,1547509383303
118,high risk,moderate risk,moderate risk,high risk,61.2185,NORMAL STATE,1547509384307
119,high risk,moderate risk,moderate risk,high risk,61.2185,NORMAL STATE,1547509385307
120,high risk,moderate risk,moderate risk,high risk,61.2185,NORMAL STATE,1547509386308
121,high risk,moderate risk,moderate risk,high risk,60.3745,NORMAL STATE,1547509387304
122,high risk,high risk,high risk,high risk,60.3745,NORMAL STATE,1547509388304
123,high risk,high risk,high risk,high risk,75.8398,CRITICAL STATE,1547509389303
124,high risk,high risk,high risk,high risk,75.8398,CRITICAL STATE,1547509390303
125,high risk,low risk,low risk,high risk,75.8398,CRITICAL STATE,1547509391306
126,high risk,low risk,low risk,high risk,51.1955,NORMAL STATE,1547509392309
127,high risk,low risk,low risk,high risk,51.1955,NORMAL STATE,1547509393302
128,high risk,low risk,low risk,high risk,51.1955,NORMAL STATE,1547509394301
129,high risk,low risk,low risk,high risk,50.3043,NORMAL STATE,1547509395300
130,high risk,high risk,high risk,high risk,50.3043,NORMAL STATE,1547509396300
131,high risk,high risk,high risk,high risk,77.3005,CRITICAL STATE,1547509397298
132,high risk,high risk,high risk,high risk,77.3005,CRITICAL STATE,1547509398299
133,high risk,high risk,high risk,high risk,77.3005,CRITICAL STATE,1547509399295
134,high risk,high risk,high risk,high risk,75.6292,CRITICAL STATE,1547509400300
135,high risk,high risk,high risk,high risk,75.6292,CRITICAL STATE,1547509401298
136,high risk,high risk,high risk,high risk,75.6292,CRITICAL STATE,1547509402306
137,high risk,high risk,high risk,high risk,75.6292,CRITICAL STATE,1547509403307
138,high risk,high risk,high risk,high risk,75.6292,CRITICAL STATE,1547509404299
139,high risk,high risk,high risk,high risk,75.6292,CRITICAL STATE,1547509405300
140,high risk,high risk,high risk,high risk,75.6292,CRITICAL STATE,1547509406303
141,high risk,high risk,high risk,high risk,75.6292,CRITICAL STATE,1547509407304
142,high risk,high risk,high risk,high risk,77.0262,CRITICAL STATE,1547509408306
143,high risk,high risk,high risk,high risk,77.0262,CRITICAL STATE,1547509409302
144,high risk,high risk,high risk,high risk,77.0262,CRITICAL STATE,1547509410300
145,high risk,high risk,moderate risk,high risk,77.0262,CRITICAL STATE,1547509411303
146,high risk,high risk,moderate risk,high risk,68.4099,CRITICAL STATE,1547509412309
147,high risk,high risk,moderate risk,high risk,72.3831,CRITICAL STATE,1547509413306
148,high risk,high risk,moderate risk,high risk,72.3831,CRITICAL STATE,1547509414305
149,high risk,high risk,moderate risk,high risk,75.1768,CRITICAL STATE,1547509415302
150,high risk,high risk,moderate risk,high risk,75.1768,CRITICAL STATE,1547509416302
151,high risk,high risk,moderate risk,high risk,75.1768,CRITICAL STATE,1547509417308
152,high risk,high risk,moderate risk,high risk,72.0614,CRITICAL STATE,1547509418302
153,high risk,high risk,moderate risk,high risk,72.0614,CRITICAL STATE,1547509419294
154,high risk,high risk,moderate risk,high risk,72.0614,CRITICAL STATE,1547509420301
155,high risk,high risk,moderate risk,high risk,72.0614,CRITICAL STATE,1547509421308
156,moderate risk,high risk,moderate risk,high risk,72.0614,CRITICAL STATE,1547509422310
157,moderate risk,high risk,moderate risk,high risk,63.3125,NORMAL STATE,1547509423305
158,moderate risk,high risk,moderate risk,high risk,63.2746,NORMAL STATE,1547509424299
159,high risk,high risk,moderate risk,high risk,61.2202,NORMAL STATE,1547509425300
160,high risk,high risk,moderate risk,high risk,73.77,CRITICAL STATE,1547509426300
161,high risk,high risk,moderate risk,high risk,73.77,CRITICAL STATE,1547509427297
162,high risk,high risk,moderate risk,high risk,73.77,CRITICAL STATE,1547509428299
163,high risk,high risk,moderate risk,high risk,73.77,CRITICAL STATE,1547509429298
164,high risk,high risk,moderate risk,high risk,73.77,CRITICAL STATE,1547509430302
165,high risk,high risk,moderate risk,moderate risk,73.77,CRITICAL STATE,1547509431303
166,high risk,high risk,moderate risk,moderate risk,72.3029,CRITICAL STATE,1547509432298
167,high risk,high risk,moderate risk,moderate risk,72.3029,CRITICAL STATE,1547509433299
168,high risk,high risk,moderate risk,moderate risk,72.3029,CRITICAL STATE,1547509434300
169,high risk,high risk,moderate risk,moderate risk,72.3029,CRITICAL STATE,1547509435300
170,high risk,low risk,moderate risk,moderate risk,69.1824,CRITICAL STATE,1547509436301
171,high risk,low risk,moderate risk,moderate risk,59.2116,NORMAL STATE,1547509437300
172,high risk,low risk,moderate risk,moderate risk,57.208,NORMAL STATE,1547509438304
173,high risk,low risk,moderate risk,high risk,56.3126,NORMAL STATE,1547509439299
174,high risk,low risk,moderate risk,high risk,58.4701,NORMAL STATE,1547509440298
175,high risk,low risk,moderate risk,high risk,58.4701,NORMAL STATE,1547509441297
176,high risk,low risk,moderate risk,high risk,58.4701,NORMAL STATE,1547509442299
177,high risk,high risk,moderate risk,high risk,58.5261,NORMAL STATE,1547509443303
178,high risk,high risk,moderate risk,high risk,69.5114,CRITICAL STATE,1547509444306
179,high risk,high risk,moderate risk,high risk,69.5114,CRITICAL STATE,1547509445301
180,high risk,high risk,moderate risk,high risk,69.5114,CRITICAL STATE,1547509446298
181,high risk,high risk,moderate risk,high risk,69.5114,CRITICAL STATE,1547509447304
182,high risk,high risk,moderate risk,high risk,69.5114,CRITICAL STATE,1547509448306
183,high risk,high risk,moderate risk,high risk,69.9561,CRITICAL STATE,1547509449306
184,high risk,high risk,moderate risk,high risk,69.9561,CRITICAL STATE,1547509450305
185,high risk,high risk,moderate risk,high risk,69.9561,CRITICAL STATE,1547509451300
186,high risk,high risk,moderate risk,high risk,69.9561,CRITICAL STATE,1547509452299
187,high risk,high risk,moderate risk,high risk,73.0813,CRITICAL STATE,1547509453305
188,high risk,high risk,moderate risk,high risk,73.0813,CRITICAL STATE,1547509454305
189,high risk,high risk,moderate risk,high risk,73.0813,CRITICAL STATE,1547509455304
190,high risk,moderate risk,moderate risk,high risk,73.0813,CRITICAL STATE,1547509456304
191,high risk,moderate risk,moderate risk,high risk,65.4485,NORMAL STATE,1547509457306
192,high risk,moderate risk,moderate risk,high risk,65.4485,NORMAL STATE,1547509458303
193,high risk,moderate risk,moderate risk,high risk,65.4485,NORMAL STATE,1547509459303
194,high risk,moderate risk,moderate risk,high risk,65.4485,NORMAL STATE,1547509460302
195,high risk,moderate risk,moderate risk,high risk,65.4485,NORMAL STATE,1547509461301
196,high risk,moderate risk,moderate risk,high risk,65.4485,NORMAL STATE,1547509462297
197,high risk,moderate risk,moderate risk,high risk,65.4485,NORMAL STATE,1547509463298
198,high risk,moderate risk,moderate risk,high risk,65.4485,NORMAL STATE,1547509464302
199,high risk,moderate risk,moderate risk,high risk,65.4485,NORMAL STATE,1547509465301
200,high risk,moderate risk,moderate risk,high risk,63.4428,NORMAL STATE,1547509466302
201,high risk,moderate risk,moderate risk,high risk,63.4428,NORMAL STATE,1547509467306
202,high risk,moderate risk,moderate risk,high risk,63.4428,NORMAL STATE,1547509468301
203,high risk,moderate risk,moderate risk,high risk,63.4428,NORMAL STATE,1547509469302
204,high risk,moderate risk,moderate risk,high risk,63.4428,NORMAL STATE,1547509470300
205,high risk,moderate risk,moderate risk,high risk,63.4428,NORMAL STATE,1547509471299
206,high risk,moderate risk,moderate risk,high risk,63.4428,NORMAL STATE,1547509472300
207,high risk,moderate risk,moderate risk,high risk,63.4428,NORMAL STATE,1547509473297
208,high risk,moderate risk,moderate risk,high risk,63.4428,NORMAL STATE,1547509474305
209,high risk,moderate risk,moderate risk,high risk,63.4428,NORMAL STATE,1547509475305
210,high risk,moderate risk,moderate risk,high risk,69.7158,CRITICAL STATE,1547509476307
211,high risk,moderate risk,moderate risk,high risk,69.7158,CRITICAL STATE,1547509477305
212,high risk,high risk,moderate risk,high risk,69.7158,CRITICAL STATE,1547509478306
213,high risk,high risk,moderate risk,high risk,73.372,CRITICAL STATE,1547509479303
214,high risk,high risk,moderate risk,high risk,73.372,CRITICAL STATE,1547509480301
215,high risk,high risk,moderate risk,high risk,73.372,CRITICAL STATE,1547509481304
216,high risk,high risk,moderate risk,high risk,73.372,CRITICAL STATE,1547509482300
217,high risk,high risk,moderate risk,high risk,73.372,CRITICAL STATE,1547509483298
218,high risk,high risk,moderate risk,high risk,73.372,CRITICAL STATE,1547509484302
219,high risk,high risk,high risk,high risk,73.372,CRITICAL STATE,1547509485297
220,high risk,high risk,high risk,high risk,78.4054,CRITICAL STATE,1547509486303
221,high risk,high risk,high risk,high risk,77.6973,CRITICAL STATE,1547509487308
222,moderate risk,high risk,high risk,high risk,77.6973,CRITICAL STATE,1547509488307
223,moderate risk,high risk,high risk,high risk,70.4192,CRITICAL STATE,1547509489302
224,moderate risk,high risk,high risk,high risk,70.4192,CRITICAL STATE,1547509490305
225,moderate risk,high risk,high risk,high risk,71.4815,CRITICAL STATE,1547509491309
226,moderate risk,high risk,high risk,high risk,71.4815,CRITICAL STATE,1547509492307
227,moderate risk,high risk,high risk,high risk,73.0564,CRITICAL STATE,1547509493297
228,moderate risk,high risk,high risk,high risk,73.0564,CRITICAL STATE,1547509494302
229,moderate risk,high risk,high risk,high risk,73.0564,CRITICAL STATE,1547509495301
230,moderate risk,high risk,high risk,high risk,69.6581,CRITICAL STATE,1547509496306
231,moderate risk,high risk,high risk,high risk,69.6581,CRITICAL STATE,1547509497308
232,low risk,high risk,high risk,high risk,69.844,CRITICAL STATE,1547509498309
233,low risk,high risk,high risk,high risk,63.6903,NORMAL STATE,1547509499304
234,high risk,high risk,high risk,high risk,63.6903,NORMAL STATE,1547509500306
235,high risk,high risk,high risk,high risk,80.0384,CRITICAL STATE,1547509501304
236,high risk,high risk,high risk,high risk,80.0384,CRITICAL STATE,1547509502304
237,high risk,high risk,high risk,high risk,80.2752,CRITICAL STATE,1547509503304
238,high risk,high risk,high risk,high risk,80.2752,CRITICAL STATE,1547509504296
239,high risk,high risk,high risk,high risk,80.2752,CRITICAL STATE,1547509505301
240,high risk,high risk,high risk,high risk,80.2752,CRITICAL STATE,1547509506310
241,high risk,high risk,high risk,high risk,80.2752,CRITICAL STATE,1547509507306
242,high risk,high risk,high risk,high risk,80.2752,CRITICAL STATE,1547509508296
243,high risk,high risk,high risk,high risk,80.2752,CRITICAL STATE,1547509509297
244,high risk,high risk,high risk,high risk,80.2752,CRITICAL STATE,1547509510300
245,high risk,high risk,high risk,high risk,80.739,CRITICAL STATE,1547509511301
246,high risk,high risk,high risk,high risk,80.739,CRITICAL STATE,1547509512299
247,moderate risk,high risk,high risk,high risk,80.739,CRITICAL STATE,1547509513302
248,moderate risk,high risk,high risk,high risk,67.8604,CRITICAL STATE,1547509514300
249,moderate risk,high risk,high risk,high risk,67.8604,CRITICAL STATE,1547509515299
250,moderate risk,high risk,high risk,high risk,67.8604,CRITICAL STATE,1547509516304
251,moderate risk,high risk,high risk,high risk,67.8604,CRITICAL STATE,1547509517308
252,moderate risk,high risk,high risk,high risk,69.0915,CRITICAL STATE,1547509518303
253,moderate risk,high risk,high risk,high risk,69.0915,CRITICAL STATE,1547509519300
254,moderate risk,high risk,high risk,high risk,69.0915,CRITICAL STATE,1547509520302
255,moderate risk,high risk,high risk,high risk,67.4623,CRITICAL STATE,1547509521301
256,moderate risk,high risk,high risk,high risk,64.4321,NORMAL STATE,1547509522296
257,moderate risk,high risk,moderate risk,high risk,64.4321,NORMAL STATE,1547509523298
258,moderate risk,high risk,moderate risk,high risk,54.3802,NORMAL STATE,1547509524308
259,moderate risk,high risk,moderate risk,high risk,53.5511,NORMAL STATE,1547509525310
260,high risk,high risk,moderate risk,high risk,53.5511,NORMAL STATE,1547509526303
261,high risk,high risk,moderate risk,high risk,64.4846,NORMAL STATE,1547509527303
262,high risk,high risk,moderate risk,high risk,64.4846,NORMAL STATE,1547509528295
263,high risk,high risk,moderate risk,high risk,64.4846,NORMAL STATE,1547509529302
264,high risk,high risk,moderate risk,high risk,64.4846,NORMAL STATE,1547509530303
265,high risk,high risk,moderate risk,high risk,64.4846,NORMAL STATE,1547509531304
266,high risk,high risk,moderate risk,high risk,68.9866,CRITICAL STATE,1547509532297
267,high risk,high risk,moderate risk,high risk,68.9866,CRITICAL STATE,1547509533299
268,high risk,high risk,moderate risk,high risk,68.1425,CRITICAL STATE,1547509534299
269,high risk,high risk,moderate risk,moderate risk,68.1425,CRITICAL STATE,1547509535300
270,high risk,high risk,moderate risk,moderate risk,62.5167,NORMAL STATE,1547509536302
271,high risk,high risk,moderate risk,moderate risk,62.5167,NORMAL STATE,1547509537303
272,high risk,high risk,moderate risk,moderate risk,62.5167,NORMAL STATE,1547509538302
273,high risk,high risk,moderate risk,moderate risk,69.6154,CRITICAL STATE,1547509539300
274,high risk,high risk,moderate risk,moderate risk,69.6154,CRITICAL STATE,1547509540300
275,high risk,high risk,moderate risk,moderate risk,69.6154,CRITICAL STATE,1547509541303
276,high risk,high risk,moderate risk,moderate risk,69.4052,CRITICAL STATE,1547509542307
277,high risk,high risk,moderate risk,moderate risk,69.4052,CRITICAL STATE,1547509543301
278,high risk,high risk,moderate risk,high risk,69.4052,CRITICAL STATE,1547509544303
279,high risk,high risk,moderate risk,high risk,73.1693,CRITICAL STATE,1547509545299
280,high risk,high risk,moderate risk,high risk,73.1693,CRITICAL STATE,1547509546301
281,high risk,high risk,moderate risk,high risk,73.1693,CRITICAL STATE,1547509547307
282,high risk,high risk,moderate risk,high risk,73.0051,CRITICAL STATE,1547509548305
283,high risk,high risk,moderate risk,high risk,72.4796,CRITICAL STATE,1547509549308
284,high risk,high risk,moderate risk,high risk,65.6835,NORMAL STATE,1547509550306
285,high risk,high risk,moderate risk,high risk,69.2072,CRITICAL STATE,1547509551305
